settlement_id,order_id,settlement_date,channel,gross_amount,adjustment,tax_tds,fee,gst_on_fee,transfer,refund,net_amount,status
stl_8937000848c74e,order_656e7b949ad14d,2026-08-20,pos,19134.02,0.0,19.13,382.68,68.88,0.0,0.0,18663.33,on_hold
stl_4c2b3d978cc343,order_cb51668e73e842,2026-08-08,international_card,12368.56,0.0,6.18,247.37,44.53,0.0,0.0,12070.48,settled
stl_42b646f7bd9147,order_ce3a0e18cbcb45,2026-08-10,pos,6214.47,0.0,6.21,124.29,22.37,0.0,1367.78,4693.82,settled
stl_86bb484a1b824c,order_74e4b4f2cf724e,2026-08-20,online_domestic,2009.55,0.0,2.01,40.19,7.23,421.93,0.0,1538.19,settled
stl_6b0b71818a614b,order_d37c0b030e0142,2026-08-24,international_card,6846.9,0.0,6.85,136.94,24.65,0.0,0.0,6678.46,settled
stl_c2a10fae81d345,order_44ec9354044d40,2026-08-09,pos,18955.05,0.0,18.96,379.1,68.24,0.0,0.0,18488.75,settled
stl_22f51c5cf95a44,order_81fef74faf714a,2026-08-17,pos,16351.99,0.0,16.35,327.04,58.87,0.0,0.0,15949.73,settled
stl_392abf2c3d3a49,order_f42345545ed147,2026-08-03,pos,1881.44,0.0,1.88,37.63,6.77,0.0,0.0,1835.16,settled
stl_abc693e22b4448,order_e5d9952d868948,2026-08-23,online_domestic,477.61,0.0,0.48,9.55,1.72,0.0,0.0,465.86,settled
stl_b69dbcebda234d,order_3b65ed1020fe40,2026-08-05,pos,21532.99,0.0,21.53,506.03,91.09,0.0,0.0,20914.34,settled
stl_af5f4f5bb8c747,order_a2ea507c2d0b45,2026-08-21,pos,13619.08,0.0,13.62,272.38,49.03,0.0,0.0,13284.05,settled
stl_b7407c19a0af45,order_1fa231dc028743,2026-08-09,online_domestic,20245.18,0.0,20.25,404.9,72.88,3739.6,0.0,16007.55,settled
stl_128fc46b48624b,order_1fa231dc028743,2026-08-09,online_domestic,20245.18,0.0,20.25,404.9,72.88,3739.6,0.0,16007.55,settled
stl_f5cc0a3a3bdf41,order_6311ade4d7b74a,2026-08-04,pos,11835.51,0.0,11.84,236.71,42.61,0.0,0.0,11544.35,settled
stl_39d95de609754a,order_1e7fad0b6a8e42,2026-08-13,online_domestic,1797.13,0.0,1.8,35.94,6.47,0.0,0.0,1752.92,settled
stl_056422af63e74a,order_09795cf2f75d48,2026-08-16,online_domestic,11380.75,0.0,11.38,227.62,40.97,0.0,0.0,11100.78,settled
stl_f9bc0daebf5c46,order_bd0d1e9d5bbc43,2026-08-20,online_domestic,20258.15,0.0,20.26,405.16,72.93,5413.09,0.0,14346.71,settled
stl_a6d4bf0622154c,order_3345b660d8054d,2026-08-10,online_domestic,24234.21,0.0,12.12,484.68,87.24,0.0,0.0,23650.17,settled
stl_ed9bb0aa2d5c4f,order_c420dcacffcb4c,2026-08-10,international_card,22590.34,0.0,22.59,587.35,105.72,6445.11,0.0,15429.57,settled
stl_5f7ffcb0df2e4d,order_5dafb3774c9f43,2026-08-20,pos,7345.66,0.0,7.35,146.91,26.44,0.0,0.0,7164.96,settled
stl_49d7d3afd41a43,order_5dafb3774c9f43,2026-08-25,pos,0.0,0.0,0.0,0.0,0.0,0.0,765.26,-765.26,settled
stl_aac870dc538c44,order_c5a7ae670cc14c,2026-08-04,pos,5677.21,0.0,5.68,113.54,20.44,0.0,0.0,5537.55,settled
stl_930a5ff64dd54d,order_c5a7ae670cc14c,2026-08-09,pos,0.0,0.0,0.0,0.0,0.0,0.0,404.98,-404.98,settled
stl_da025dfdd6aa4a,order_50666c2cb86d44,2026-08-23,international_card,1711.98,0.0,1.71,34.24,6.16,0.0,0.0,1669.87,settled
stl_91415b932b9640,order_a1fab5fba43a48,2026-08-19,online_domestic,4188.59,0.0,4.19,98.43,17.72,0.0,309.06,3759.19,settled
stl_ae7c46ff6f9c4e,order_c59c26c262394d,2026-08-21,online_domestic,10273.26,0.0,10.27,205.47,36.98,0.0,808.45,9212.09,settled
stl_81884f04f3dd49,order_088527f5d18d44,2026-08-21,pos,16537.12,0.0,16.54,330.74,59.53,0.0,0.0,16130.31,settled
stl_18596140c8044f,order_f1385bc5021c42,2026-08-13,online_domestic,16842.23,0.0,16.84,336.84,60.63,0.0,0.0,16427.92,settled
stl_f087fb31bef644,order_3c7e19d06c094a,2026-08-19,international_card,16243.87,0.0,16.24,324.88,58.48,0.0,0.0,15844.27,settled
stl_2dbd8b81a8fc46,order_d33ce7d3ba7e45,2026-08-22,pos,530.09,0.0,0.53,10.6,1.91,0.0,66.05,451.0,settled
stl_49507c23f5694d,order_ef732a42b9994a,2026-08-14,online_domestic,6850.45,0.0,6.85,137.01,24.66,0.0,0.0,6681.93,settled
stl_49b0174821b841,order_8d5f8ff42b5144,2026-08-20,pos,4196.35,0.0,4.2,83.93,15.11,0.0,0.0,4093.11,settled
stl_a32ad26b196a47,order_a96505bdfa6946,2026-08-19,online_domestic,20235.37,0.0,20.24,404.71,72.85,0.0,0.0,19737.57,settled
stl_cf5cb3c8e82441,order_7bef565e0cef4b,2026-08-06,online_domestic,23314.37,0.0,23.31,466.29,83.93,0.0,0.0,22740.84,settled
stl_4fcc362f9e3e44,order_eedc8da882b544,2026-08-09,international_card,9318.85,0.0,9.32,186.38,33.55,0.0,0.0,9089.6,settled
stl_3eaaac51269242,order_eedc8da882b544,2026-08-10,international_card,9318.84,0.0,9.32,186.38,33.55,0.0,0.0,9089.6,settled
stl_caaf0156acaa4b,order_9b30cd83dce344,2026-08-25,international_card,4384.57,0.0,4.39,87.69,15.79,0.0,0.0,4276.71,settled
stl_cb0ada6b69794e,order_9b30cd83dce344,2026-08-26,international_card,4384.57,0.0,4.39,87.69,15.79,0.0,0.0,4276.71,settled
stl_5f3073d512dc4f,order_e3ee48980d0d42,2026-08-04,online_domestic,22731.53,0.0,22.73,454.63,81.83,0.0,0.0,22172.34,settled
stl_a927e3a2422a47,order_76c66dbffa4f41,2026-08-13,online_domestic,1388.94,0.0,1.39,27.78,5.0,0.0,0.0,1354.77,settled
stl_e92bd2c0c3274a,order_95f018f0f95d4f,2026-08-20,pos,18608.4,0.0,18.61,372.17,66.99,0.0,1420.48,16730.15,settled
stl_7c18ba9eba5c4f,order_66f3b2444c8043,2026-08-07,pos,22112.73,0.0,22.11,442.25,79.61,4654.84,0.0,16913.92,settled
stl_b7e6ecc9bdd74d,order_b806d210510b40,2026-08-06,international_card,7913.98,0.0,7.91,158.28,28.49,0.0,0.0,7719.3,settled
stl_3003f29c17cf47,order_9418c36d0ed544,2026-08-22,international_card,2839.0,0.0,2.84,56.78,10.22,0.0,0.0,2769.16,on_hold
stl_7c09a9fe302a4f,order_3abf665e889c43,2026-08-10,online_domestic,23166.37,0.0,23.17,463.33,83.4,0.0,0.0,22596.47,settled
stl_f01b6308266f4c,order_cb99624e1e044a,2026-08-03,online_domestic,22070.98,0.0,22.07,441.42,79.46,0.0,0.0,21528.03,settled
stl_5b689c97580f48,order_777092237ac84d,2026-08-12,international_card,23291.15,0.0,23.29,465.82,83.85,0.0,0.0,22718.19,settled
stl_301c9966807b46,order_a081a972bbb248,2026-08-06,international_card,9748.78,0.0,9.75,194.97,35.1,0.0,0.0,9508.96,settled
stl_4234160b3ec447,order_1d8ef2773f9d42,2026-08-10,online_domestic,8936.56,0.0,8.94,178.73,32.17,1480.36,0.0,7236.36,settled
stl_14b2a7b01fa34b,order_32a97a7eb7844e,2026-08-13,international_card,21649.52,0.0,21.65,432.99,77.94,0.0,0.0,21116.94,settled
stl_8ee5a2ad8d2a41,order_a3aa18248ca34c,2026-08-22,international_card,24534.4,0.0,24.53,490.69,88.32,0.0,0.0,23930.86,settled
stl_f297209d8fe444,order_a3aa18248ca34c,2026-08-27,international_card,0.0,0.0,0.0,0.0,0.0,0.0,2217.16,-2217.16,settled
stl_edge_case_01,order_edge_case_chargeback01,2026-08-17,online_domestic,9500.0,0.0,9.5,190.0,34.2,0.0,0.0,8916.3,settled
